merchant_id,merchant_name,rating,on_time_history,notes
1,Widgets Inc.,5,good,Long-standing supplier. Reliable delivery.
2,Gadgets Co.,3,late,Occasional delays. Quality acceptable.
3,Precision Parts Ltd.,4,good,Consistent quality and pricing.
4,Global Supply Chain Partners,3,good,Large orders only. Net 60 terms.
5,Acme Industrial Supplies,4,good,Preferred vendor for standard parts.
6,MegaWidgets Corp,4,good,Bulk discount available. Reliable.
7,Consolidated Materials Group,4,good,Handles rush orders well.
8,Summit Manufacturing Co.,5,good,Top-rated. Never late.
9,QuickShip Distributers,3,late,Formerly FastShip Ltd. Some invoice errors in past.
10,Atlas Industrial Supply,4,good,Large volume supplier. Volume discounts.
11,TechParts International,4,good,EUR-based. Reliable international supplier.
12,Reliable Components Inc.,5,good,Excellent track record.
